conflicts,decisions,final-checks,propagations,user-propagations,domain,length,steps,instance,propagator
421,22451,1111,1,533,tsp,5,5,5,exists-prop-clause
210,1,4174,76,49,rovers,8,4,2,exists-lazy
1876,28,232,15,1,rovers,17,4,4,exists-lazy
1,96,554,65,7973,rovers,11,5,1,exists-lazy
6519,68,622,104,1,rovers,19,6,3,exists-lazy
720,5512,1,59,165,rovers,11,4,2,exists-prop-clause
1,6,27,153,2074,tpp,22,6,5,exists-lazy
139,25,1,1951,126,tpp,24,6,5,exists-prop-clause
1,207,1882,40,4931,rovers,17,6,3,exists-prop-clause
650,3956,121964,2222,1,tsp,6,6,6,exists-lazy
1731,18,1,145,850,rovers,19,4,4,exists-prop-clause
19795,61592,1,6225273,192256,rovers,36,9,8,forall-prop-clause
1,6284,1280,2346,164202,tsp,6,6,6,exists-prop-clause
128,22700,1146,1354,1,tpp,43,8,7,exists-prop-clause
38,1023,21829,156,1,tpp,34,8,6,exists-lazy
27740,688,1074,1,176,tpp,33,8,6,exists-prop-clause
173,1,1334,47,27508,tpp,40,8,7,exists-lazy
1,60,1508,237,34702,tpp,51,8,8,exists-lazy
11127,19830,1,774540,1837,tsp,7,7,7,exists-lazy
1193,1278,27751,1,148,tpp,50,8,8,exists-prop-clause
570905,1321,1,11617,3395,rovers,33,8,5,exists-lazy
1298,1,12862,3877,197995,rovers,37,8,5,exists-prop-clause
1,5647,305391,1098,148,tpp,58,10,9,exists-lazy
1,261852,26602,1904,6372,rovers,35,7,7,exists-prop-clause
1530127,1,2558,17820,33416,tsp,7,7,7,exists-prop-clause
1,3617,617,180598,32071,rovers,56,9,9,exists-prop-clause
1,1499284,27235,2395,8192,rovers,32,7,7,exists-lazy
250264,4461,893,1,4920,tpp,64,10,9,exists-prop-clause
757,694988,1,27329,1534,rovers,54,9,9,exists-lazy
8460,1148,329740,1,157,tpp,74,10,10,exists-lazy
4217,245052,5158,767,1,tpp,71,10,10,exists-prop-clause
78076,271652,1,26496592,10730,rovers,39,9,8,forall-lazy
66019,3704,5512660,119088,1,tsp,8,8,8,exists-lazy
53878,4414,101495,4726135,1,tsp,8,8,8,exists-prop-clause
77254,1,4485,7531952,28231,rovers,47,11,6,exists-lazy
3358952,12244,62515,28677,1,rovers,49,11,6,exists-prop-clause
160899,46472,11407,2683432,1,rovers,54,9,8,exists-prop-clause
593676,937475,1,64848095,3028,tsp,9,9,9,forall-prop-id
255986,430960,1,26281704,7458,tsp,9,9,9,forall-prop-clause
96632,242601,1,27909264,125104,rovers,62,12,10,forall-prop-id
975782,1505555,1,109900606,5480,tsp,9,9,9,forall-lazy
1,7458,26281704,430960,255986,tsp,9,9,9,exists-prop-clause
61328,181905,1,16294937,394395,rovers,58,12,10,forall-prop-clause
10542728,176154,69176,1,390379,rovers,67,12,10,exists-prop-clause
1,109776,18805,32571881,388437,rovers,53,9,8,exists-lazy
95985685,897751,1434252,1,5214,tsp,9,9,9,exists-lazy
1,13427,1376405,881247,100908326,tsp,10,10,10,exists-prop-clause
